address,ranking
0xdac17f958d2ee523a2206206994597c13d831ec7,1
0xb8c77482e45f1f44de1745f52c74426c631bdd52,2
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,4
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,5
0x514910771af9ca656af840dff83e8264ecf986ca,6
0x4fabb145d64652a948d72533023f6e7a623c7c53,7
0x3883f5e181fccaf8410fa61e12b59bad963fb645,8
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,9
0xd850942ef8811f2a866692a623011bde52a462c1,10
0xff20817765cb7f73d4bde2e66e067e58d11095c2,11
0x6e1a19f235be7ed8e3369ef73b196c07257494de,12
0x6b175474e89094c44da98b954eedeac495271d0f,13
0xe1be5d3f34e89de342ee97e6e90d405884da6c67,14
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,15
0x75231f58b43240c9718dd58b4967c5114342a86c,16
0x39aa39c021dfbae8fac545936693ac917d5e7563,17
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,18
0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,19
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,20
0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,21
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,22
0x6f259637dcd74c767781e37bc6133cd6a68aa161,23
0xe83cccfabd4ed148903bf36d4283ee7c8b3494d1,24
0xa47c8bf37f92abed4a126bda807a7b7498661acd,25
0x3506424f91fd33084466f402d5d97f05f8e3b4af,26
0x467bccd9d29f223bce8043b84e8c8b282827790f,27
0xc00e94cb662c3520282e6f5717214004a7f26888,28
0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,29
0x0316eb71485b0ab14103307bf65a021042c6d380,30
0x0000000000085d4780b73119b644ae5ecd22b376,31
0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,32
0x6c6ee5e31d828de241282b9606c8e98ea48526e2,33
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,34
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,35
0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,36
0xae7ab96520de3a18e5e111b5eaab095312d7fe84,37
0x0d8775f648430679a709e98d2b0cb6250d2887ef,38
0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,39
0xaf30d2a7e90d7dc361c8c4585e9bb7d2f6f15bc7,40
0x4a220e6096b25eadb88358cb44068a3248254675,41
